iter	Passed	Remaining
234	312	1015
235	312	1012
236	313	1008
237	313	1004
238	314	1000
239	314	997
240	315	993
241	316	989
242	316	986
243	317	982
244	317	979
245	318	975
246	318	971
247	319	968
248	319	964
249	320	961
250	320	957
251	321	954
252	321	950
253	322	947
254	322	943
255	323	940
256	324	936
257	324	933
258	325	929
259	325	926
260	326	923
261	326	919
262	326	916
263	327	912
264	327	909
265	328	906
266	328	903
267	329	900
268	330	897
269	330	893
270	331	890
271	331	887
272	332	884
273	332	881
274	333	878
275	333	875
276	334	872
277	334	869
278	335	866
279	335	863
280	336	860
281	336	857
282	337	854
283	337	851
284	338	849
285	338	846
286	339	843
287	339	840
288	340	837
289	340	834
290	341	831
291	342	829
292	342	826
293	343	824
294	343	821
295	344	819
296	345	816
297	345	814
298	346	812
299	346	809
300	347	806
301	348	804
302	348	801
303	349	799
304	349	796
305	350	793
306	350	791
307	351	788
308	351	786
309	352	783
310	352	781
311	352	778
312	353	776
313	354	773
314	354	771
315	355	768
316	355	766
317	356	764
318	357	762
319	357	760
320	358	758
321	358	755
322	359	753
323	360	751
324	360	749
325	361	747
326	361	744
327	362	742
328	362	740
329	363	737
330	363	735
331	364	733
332	364	730
333	365	728
334	365	726
335	366	724
336	367	722
337	367	720
338	368	718
339	368	715
340	369	713
341	369	711
342	370	709
343	370	707
344	371	704
345	371	702
346	372	701
347	373	699
348	373	697
349	374	695
350	375	693
351	375	691
352	376	689
353	376	687
354	377	685
355	377	683
356	378	681
357	378	679
358	379	677
359	380	675
360	380	673
361	381	671
362	381	669
363	382	667
364	382	665
365	383	663
366	383	661
367	384	660
368	384	658
369	385	656
370	386	654
371	386	652
372	387	650
373	387	648
374	388	646
375	388	644
376	388	642
377	389	640
378	389	638
379	390	636
380	390	635
381	391	633
382	391	631
383	392	629
384	392	627
385	393	625
386	393	623
387	394	621
388	394	620
389	395	618
390	395	616
391	396	614
392	396	612
393	397	611
394	397	609
395	398	607
396	398	606
397	399	604
398	400	602
399	400	601
400	401	599
401	402	598
402	402	596
403	403	594
404	403	593
405	404	592
406	405	590
407	405	589
408	406	587
409	407	585
410	407	584
411	408	582
412	409	581
413	409	579
414	410	578
415	410	576
416	411	575
417	414	576
418	415	576
419	416	574
420	416	573
421	417	571
422	418	570
423	418	568
424	419	567
425	419	565
426	420	563
427	420	562
428	421	561
429	422	559
430	423	558
431	423	557
432	424	555
433	424	553
434	425	552
435	426	551
436	426	549
437	427	548
438	428	547
439	428	545
440	429	544
441	429	542
442	430	541
443	430	539
444	431	538
445	431	536
446	432	535
447	433	533
448	433	532
449	434	530
450	434	529
451	435	527
452	436	526
453	436	525
454	437	523
455	437	522
456	438	520
457	438	519
458	439	517
459	439	516
460	440	515
461	441	513
462	441	512
463	442	510
464	442	509
465	443	507
466	443	506
467	444	505
468	444	503
469	445	502
470	445	500
471	446	499
472	446	497
473	447	496
474	447	494
475	448	493
476	448	492
477	449	490
478	449	489
479	450	487
480	450	486
481	451	484
482	451	483
483	452	482
484	453	481
485	454	480
486	454	479
487	455	477
488	455	476
489	456	475
490	456	473
491	457	472
492	458	471
493	458	470
494	459	468
495	459	467
496	460	466
497	461	464
498	461	463
499	462	462
500	462	461
501	463	459
502	463	458
503	464	457
504	464	455
505	465	454
506	466	453
507	466	451
508	467	450
509	467	449
510	468	447
511	468	446
512	469	445
513	469	444
514	470	442
515	470	441
516	471	440
517	472	439
518	472	437
519	473	436
520	473	435
521	474	434
522	474	432
523	475	431
524	475	430
525	476	429
526	477	428
527	477	427
528	478	425
529	478	424
530	479	423
531	480	422
532	480	421
533	481	419
534	481	418
535	482	417
536	483	416
537	483	415
538	484	414
539	484	413
540	485	411
541	486	410
542	486	409
543	487	408
544	487	407
545	488	405
546	489	405
547	490	404
548	490	403
549	491	401
550	491	400
551	492	399
552	492	398
553	493	397
554	493	395
555	494	394
556	494	393
557	495	392
558	496	391
559	496	390
560	497	389
561	497	387
562	498	386
563	498	385
564	499	384
565	499	383
566	500	382
567	500	381
568	501	379
569	502	378
570	502	377
571	503	376
572	503	375
573	504	374
574	504	373
575	505	371
576	505	370
577	506	369
578	507	368
579	508	367
580	509	367
581	510	366
582	510	365
583	511	364
584	512	363
585	513	362
586	514	361
587	514	360
588	515	359
589	516	358
590	516	357
591	517	356
592	517	355
593	518	354
594	518	353
595	519	352
596	520	351
597	520	349
598	521	348
599	521	347
600	522	346
601	522	345
602	523	344
603	523	343
604	524	342
605	524	341
606	525	339
607	525	338
608	526	337
609	526	336
610	527	335
611	527	334
612	528	333
613	528	332
614	529	331
615	529	330
616	530	329
617	530	328
618	531	327
619	531	325
620	532	324
621	532	323
622	533	322
623	533	321
624	534	320
625	534	319
626	535	318
627	536	317
628	536	316
629	537	315
630	537	314
631	538	313
632	538	312
633	539	311
634	539	310
635	540	309
636	540	308
637	541	307
638	541	306
639	542	305
640	542	304
641	543	303
642	543	301
643	544	300
644	544	299
645	545	298
646	546	297
647	546	296
648	547	295
649	547	294
650	548	293
651	548	292
652	549	291
653	549	290
654	550	289
655	550	288
656	551	287
657	552	287
658	553	286
659	553	285
660	554	284
661	555	283
662	555	282
663	556	281
664	556	280
665	557	279
666	558	278
667	558	277
668	559	276
669	559	275
670	560	274
671	560	273
672	561	272
673	562	271
674	562	270
675	563	269
676	563	268
677	564	267
678	564	267
679	565	266
680	565	265
681	566	264
682	567	263
683	567	262
684	568	261
685	569	260
686	569	259
687	570	258
688	571	257
689	571	256
690	572	256
691	573	255
692	573	254
693	574	253
694	574	252
695	575	251
696	576	250
697	576	249
698	577	248
699	577	247
700	578	246
701	578	245
702	579	244
703	579	243
704	580	242
705	581	242
706	582	241
707	582	240
708	583	239
709	584	238
710	584	237
711	585	236
712	585	235
713	586	234
714	586	233
715	587	232
716	588	232
717	588	231
718	589	230
719	589	229
720	590	228
721	590	227
722	591	226
723	591	225
724	592	224
725	593	223
726	593	222
727	594	221
728	594	221
729	595	220
730	595	219
731	596	218
732	596	217
733	597	216
734	599	216
735	601	215
736	602	215
737	603	214
738	604	213
739	605	212
740	605	211
741	606	210
742	606	209
743	607	209
744	608	208
745	608	207
746	609	206
747	610	205
748	611	204
749	612	204
750	612	203
751	614	202
752	614	201
753	615	200
754	616	200
755	617	199
756	618	198
757	619	197
758	620	196
759	620	196
760	621	195
761	622	194
762	622	193
763	623	192
764	623	191
765	624	190
766	625	189
767	625	189
768	626	188
769	626	187
770	627	186
771	627	185
772	628	184
773	629	183
774	629	182
775	630	182
776	631	181
777	632	180
778	632	179
779	633	178
780	633	177
781	634	176
782	634	175
783	635	175
784	636	174
785	637	173
786	637	172
787	638	171
788	639	170
789	639	170
790	640	169
791	640	168
792	641	167
793	641	166
794	642	165
795	642	164
796	643	163
797	644	163
798	644	162
799	645	161
800	645	160
801	646	159
802	647	158
803	648	157
804	648	157
805	649	156
806	650	155
807	650	154
808	651	153
809	652	153
810	654	152
811	654	151
812	656	150
813	656	150
814	657	149
815	658	148
816	659	147
817	659	146
818	660	145
819	661	145
820	661	144
821	662	143
822	663	142
823	663	141
824	664	140
825	665	140
826	665	139
827	666	138
828	667	137
829	668	136
830	670	136
831	670	135
832	671	134
833	672	133
834	672	132
835	673	132
836	674	131
837	675	130
838	675	129
839	676	128
840	677	128
841	677	127
842	678	126
843	679	125
844	680	124
845	680	123
846	681	123
847	681	122
848	682	121
849	682	120
850	683	119
851	684	118
852	684	117
853	685	117
854	685	116
855	686	115
856	687	114
857	688	113
858	688	113
859	689	112
860	690	111
861	690	110
862	691	109
863	691	108
864	692	108
865	693	107
866	694	106
867	694	105
868	695	104
869	695	103
870	696	103
871	696	102
872	697	101
873	698	100
874	698	99
875	699	98
876	699	98
877	700	97
878	701	96
879	701	95
880	702	94
881	702	94
882	703	93
883	703	92
884	704	91
885	705	90
886	705	89
887	706	89
888	706	88
889	707	87
890	707	86
891	708	85
892	708	84
893	709	84
894	710	83
895	710	82
896	712	81
897	713	81
898	714	80
899	714	79
900	715	78
901	715	77
902	716	76
903	717	76
904	717	75
905	718	74
906	718	73
907	719	72
908	719	72
909	720	71
910	721	70
911	721	69
912	722	68
913	723	68
914	724	67
915	725	66
916	725	65
917	726	64
918	726	64
919	727	63
920	727	62
921	728	61
922	728	60
923	729	59
924	729	59
925	730	58
926	730	57
927	731	56
928	732	55
929	732	55
930	733	54
931	733	53
932	734	52
933	735	51
934	736	51
935	736	50
936	737	49
937	737	48
938	738	47
939	738	47
940	739	46
941	739	45
942	740	44
943	741	44
944	743	43
945	744	42
946	744	41
947	745	40
948	745	40
949	746	39
950	746	38
951	747	37
952	747	36
953	748	36
954	748	35
955	749	34
956	750	33
957	751	32
958	752	32
959	753	31
960	753	30
961	754	29
962	755	29
963	755	28
964	756	27
965	757	26
966	757	25
967	757	25
968	758	24
969	759	23
970	759	22
971	759	21
972	760	21
973	761	20
974	761	19
975	762	18
976	762	17
977	763	17
978	764	16
979	764	15
980	765	14
981	765	14
982	766	13
983	766	12
984	767	11
985	768	10
986	768	10
987	769	9
988	769	8
989	770	7
990	770	7
991	771	6
992	771	5
993	772	4
994	772	3
995	773	3
996	774	2
997	774	1
998	775	0
999	775	0
